,endTime,artistName,trackName,year,month,seconds_played,minutes_played
186,2021-03-18 20:31:00-03:00,Pink Floyd,Money,2021,3,84.09,1.4015
187,2021-03-18 20:36:00-03:00,Tom Misch,Disco Yes,2021,3,271.62,4.527
188,2021-03-18 20:37:00-03:00,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,2021,3,71.61,1.1935
189,2021-03-18 20:43:00-03:00,Creed,My Sacrifice,2021,3,290.57,4.842833333333333
197,2021-03-19 09:43:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
199,2021-03-19 09:45:00-03:00,Billy Cobham,Red Baron,2021,3,80.87,1.3478333333333334
201,2021-03-19 09:50:00-03:00,Average White Band,School Boy Crush,2021,3,299.533,4.992216666666667
206,2021-03-19 09:53:00-03:00,CHIC,What About Me,2021,3,195.03,3.2505
207,2021-03-19 10:43:00-03:00,The Temptations,Shakey Ground,2021,3,155.3,2.5883333333333334
209,2021-03-19 10:49:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
210,2021-03-19 10:52:00-03:00,The New Mastersounds,102%,2021,3,203.457,3.3909499999999997
211,2021-03-19 10:55:00-03:00,Average White Band,Pick up the Pieces,2021,3,155.345,2.5890833333333334
213,2021-03-19 11:01:00-03:00,The Greyboy Allstars,Still Waiting,2021,3,134.63,2.2438333333333333
215,2021-03-19 11:03:00-03:00,The Meters,Here Comes the Meter Man,2021,3,56.8,0.9466666666666667
216,2021-03-19 11:07:00-03:00,Doctorfunk,Gotta Get Funky,2021,3,242.24,4.037333333333334
220,2021-03-19 11:11:00-03:00,Doctorfunk,Can't Fight The Funk,2021,3,133.73,2.228833333333333
222,2021-03-19 11:51:00-03:00,Al Green,Love and Happiness,2021,3,141.443,2.3573833333333334
224,2021-03-19 11:56:00-03:00,Korn,Word Up!,2021,3,172.666,2.8777666666666666
225,2021-03-19 11:58:00-03:00,Korn,Coming Undone,2021,3,68.043,1.13405
228,2021-03-19 11:59:00-03:00,Angels & Airwaves,The War,2021,3,90.5,1.5083333333333333
229,2021-03-19 12:01:00-03:00,Bloc Party,Helicopter,2021,3,108.16,1.8026666666666666
236,2021-03-19 12:07:00-03:00,Muse,Time is Running Out,2021,3,237.039,3.95065
237,2021-03-19 12:09:00-03:00,Korn,Y'all Want a Single,2021,3,114.37,1.9061666666666668
238,2021-03-19 16:35:00-03:00,Average White Band,School Boy Crush,2021,3,284.956,4.749266666666667
251,2021-03-19 16:46:00-03:00,The Temptations,Shakey Ground,2021,3,175.524,2.9254000000000002
252,2021-03-19 16:50:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
253,2021-03-19 16:54:00-03:00,The New Mastersounds,102%,2021,3,203.457,3.3909499999999997
254,2021-03-19 16:55:00-03:00,Average White Band,Pick up the Pieces,2021,3,60.479,1.0079833333333332
255,2021-03-19 17:08:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,153.683,2.561383333333333
294,2021-03-21 12:29:00-03:00,Sports,Panama,2021,3,198.546,3.3091
296,2021-03-21 12:35:00-03:00,Crumb,Recently Played,2021,3,120.454,2.0075666666666665
298,2021-03-21 12:38:00-03:00,Thundercat,Them Changes,2021,3,188.453,3.1408833333333335
299,2021-03-21 12:42:00-03:00,RALPH TV,Taxi Boy,2021,3,189.333,3.15555
301,2021-03-21 12:46:00-03:00,Hidden Spheres,Be a Man,2021,3,36.57,0.6095
365,2021-03-21 15:35:00-03:00,Fouk,Coconuts,2021,3,234.487,3.9081166666666665
367,2021-03-21 15:38:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
371,2021-03-21 16:09:00-03:00,James Brown,The Boss,2021,3,39.792,0.6632
374,2021-03-21 16:14:00-03:00,George Clanton,Make You Cry,2021,3,325.841,5.4306833333333335
375,2021-03-21 16:18:00-03:00,Hector Gachan,Derby Daze,2021,3,233.706,3.8951
377,2021-03-21 16:25:00-03:00,Miel De Montagne,Pourquoi pas,2021,3,192.161,3.2026833333333333
404,2021-03-21 17:50:00-03:00,Swim Mountain,Somebody New,2021,3,210.603,3.51005
412,2021-03-21 18:06:00-03:00,Thundercat,Show You The Way,2021,3,170.17,2.8361666666666663
416,2021-03-21 18:14:00-03:00,Pigeons Playing Ping Pong,Melting Lights,2021,3,304.506,5.0751
418,2021-03-21 18:23:00-03:00,Pigeons Playing Ping Pong,F.U.,2021,3,118.183,1.9697166666666668
423,2021-03-21 19:37:00-03:00,Kurt Vile,Bassackwards,2021,3,586.133,9.768883333333333
424,2021-03-21 19:46:00-03:00,Courtney Barnett,Over Everything,2021,3,181.816,3.030266666666667
425,2021-03-21 19:51:00-03:00,Kurt Vile,One Trick Ponies,2021,3,262.21,4.370166666666666
428,2021-03-22 12:12:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
429,2021-03-22 12:15:00-03:00,The New Mastersounds,102%,2021,3,203.457,3.3909499999999997
433,2021-03-22 12:24:00-03:00,The New Mastersounds,The Vandenburg Suite,2021,3,328.465,5.4744166666666665
434,2021-03-22 12:27:00-03:00,Sly & The Family Stone,If You Want Me to Stay,2021,3,180.493,3.0082166666666668
443,2021-03-22 12:39:00-03:00,Red Hot Chili Peppers,Mellowship Slinky in B Major,2021,3,239.96,3.9993333333333334
446,2021-03-22 12:49:00-03:00,Red Hot Chili Peppers,My Lovely Man,2021,3,279.066,4.6511
448,2021-03-22 17:33:00-03:00,Oddisee,Beach Dr.,2021,3,173.81,2.8968333333333334
449,2021-03-23 09:23:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,155.28,2.588
453,2021-03-23 09:38:00-03:00,John Mayer,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",2021,3,262.17,4.3695
466,2021-03-23 09:44:00-03:00,Wild Cherry,Play That Funky Music,2021,3,249.93,4.1655
467,2021-03-23 09:50:00-03:00,The Main Squeeze,"Redbone (Blue Nile - New Orleans, 5.03.17) - Live",2021,3,387.013,6.450216666666666
469,2021-03-23 09:54:00-03:00,Frankie Valli,Grease - 2007 Remaster,2021,3,207.306,3.4551000000000003
470,2021-03-23 14:02:00-03:00,The Rolling Stones,Miss You - Remastered,2021,3,128.313,2.13855
471,2021-03-23 14:06:00-03:00,The Greyboy Allstars,V Neck Sweater,2021,3,245.26,4.087666666666666
475,2021-03-24 11:15:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
478,2021-03-24 11:21:00-03:00,Average White Band,Pick up the Pieces,2021,3,188.585,3.1430833333333337
481,2021-03-24 11:32:00-03:00,Sly & The Family Stone,If You Want Me to Stay,2021,3,180.493,3.0082166666666668
502,2021-03-24 13:11:00-03:00,Pinback,How We Breathe,2021,3,97.866,1.6311
503,2021-03-24 13:14:00-03:00,Pinback,Subbing For Eden,2021,3,211.666,3.5277666666666665
505,2021-03-24 13:54:00-03:00,Red Hot Chili Peppers,This Is the Place,2021,3,175.9,2.9316666666666666
507,2021-03-24 15:43:00-03:00,Red Hot Chili Peppers,Dosed,2021,3,311.866,5.197766666666666
509,2021-03-24 15:51:00-03:00,Red Hot Chili Peppers,The Zephyr Song,2021,3,231.933,3.86555
511,2021-03-24 15:59:00-03:00,Red Hot Chili Peppers,I Could Die for You,2021,3,192.826,3.2137666666666664
512,2021-03-24 16:06:00-03:00,Red Hot Chili Peppers,Midnight,2021,3,295.573,4.926216666666666
513,2021-03-24 16:07:00-03:00,Red Hot Chili Peppers,Throw Away Your Television,2021,3,34.99,0.5831666666666667
520,2021-03-25 11:43:00-03:00,Hector Gachan,Untitled '91,2021,3,244.0,4.066666666666666
523,2021-03-25 15:51:00-03:00,"quickly, quickly",Getsomerest/sleepwell,2021,3,332.173,5.536216666666666
533,2021-03-25 16:21:00-03:00,deadmau5,Brazil - 2nd Edit,2021,3,511.32,8.522
547,2021-03-26 09:05:00-03:00,Lenny Kravitz,Are You Gonna Go My Way,2021,3,211.933,3.5322166666666663
548,2021-03-26 09:06:00-03:00,Lenny Kravitz,Fly Away,2021,3,33.256,0.5542666666666667
550,2021-03-26 09:10:00-03:00,The Greyboy Allstars,Soul Dream,2021,3,208.57,3.4761666666666664
551,2021-03-26 09:13:00-03:00,Swim Mountain,Wait for Me,2021,3,186.983,3.1163833333333333
552,2021-03-26 10:48:00-03:00,Swim Mountain,Yesterday,2021,3,59.946,0.9991
554,2021-03-26 10:52:00-03:00,Muse,Time is Running Out,2021,3,237.039,3.95065
557,2021-03-26 10:53:00-03:00,Incubus,Privilege,2021,3,31.43,0.5238333333333334
558,2021-03-26 10:56:00-03:00,Rage Against The Machine,Renegades Of Funk,2021,3,182.37,3.0395
559,2021-03-26 10:59:00-03:00,Rage Against The Machine,Testify,2021,3,210.133,3.502216666666667
561,2021-03-26 11:05:00-03:00,Rage Against The Machine,Wake Up,2021,3,362.536,6.0422666666666665
566,2021-03-26 11:23:00-03:00,Rage Against The Machine,Freedom,2021,3,115.29,1.9215000000000002
589,2021-03-29 09:54:00-03:00,Pinback,Drawstring,2021,3,157.34,2.622333333333333
593,2021-03-29 09:57:00-03:00,Pinback,From Nothing To Nowhere,2021,3,207.666,3.4611
595,2021-03-29 10:00:00-03:00,Pinback,Prog,2021,3,147.29,2.454833333333333
597,2021-03-29 10:04:00-03:00,Swim Mountain,Yesterday,2021,3,210.625,3.5104166666666665
598,2021-03-29 10:05:00-03:00,Gativideo,Bruce Willis,2021,3,95.024,1.5837333333333334
601,2021-03-29 10:06:00-03:00,Gativideo,Flota Flota,2021,3,40.43,0.6738333333333333
602,2021-03-29 10:13:00-03:00,The New Mastersounds,MRG,2021,3,257.106,4.2851
603,2021-03-29 11:04:00-03:00,The New Mastersounds,102%,2021,3,187.733,3.1288833333333335
607,2021-03-29 11:29:00-03:00,The New Mastersounds,The Vandenburg Suite,2021,3,208.81,3.480166666666667
621,2021-03-29 11:33:00-03:00,Mac DeMarco,Salad Days,2021,3,60.52,1.0086666666666668
622,2021-03-29 11:34:00-03:00,Mac DeMarco,Salad Days,2021,3,90.332,1.5055333333333332
623,2021-03-29 11:36:00-03:00,Mac DeMarco,Blue Boy,2021,3,126.223,2.1037166666666667
624,2021-03-29 11:40:00-03:00,Mac DeMarco,Brother,2021,3,212.746,3.5457666666666667
625,2021-03-29 11:54:00-03:00,Mac DeMarco,Let Her Go,2021,3,182.607,3.04345
626,2021-03-29 11:57:00-03:00,Mac DeMarco,Goodbye Weekend,2021,3,179.766,2.9960999999999998
628,2021-03-29 11:58:00-03:00,Mac DeMarco,Let My Baby Stay,2021,3,45.133,0.7522166666666668
637,2021-03-29 12:06:00-03:00,Hector Gachan,Nice Guy,2021,3,152.35,2.5391666666666666
638,2021-03-29 12:10:00-03:00,Hector Gachan,Really Something,2021,3,219.1,3.6516666666666664
639,2021-03-29 12:12:00-03:00,Hector Gachan,Dick Daisey,2021,3,152.835,2.54725
642,2021-03-29 12:21:00-03:00,Hector Gachan,Rocko's Slippin',2021,3,149.043,2.4840500000000003
643,2021-03-29 12:24:00-03:00,Hector Gachan,Balkan Boy,2021,3,177.055,2.9509166666666666
645,2021-03-29 15:25:00-03:00,Hector Gachan,You're Right,2021,3,90.98,1.5163333333333333
658,2021-03-29 17:14:00-03:00,The Meters,Ease Back,2021,3,193.273,3.2212166666666664
660,2021-03-29 17:18:00-03:00,Vulfpeck,Beastly,2021,3,93.39,1.5565
662,2021-03-30 09:26:00-03:00,Hector Gachan,Untitled '91,2021,3,244.0,4.066666666666666
670,2021-03-30 09:30:00-03:00,Hector Gachan,Really Something,2021,3,219.5,3.658333333333333
671,2021-03-30 09:33:00-03:00,Kid Bloom,Electric U,2021,3,171.696,2.8616
683,2021-03-30 09:37:00-03:00,Hector Gachan,Easy,2021,3,177.404,2.956733333333333
685,2021-03-30 09:43:00-03:00,LEISURE,Money,2021,3,167.487,2.7914499999999998
692,2021-03-30 10:11:00-03:00,Drugdealer,Suddenly,2021,3,197.04,3.284
694,2021-03-30 10:18:00-03:00,Papooz,Theatrical State of Mind,2021,3,192.039,3.20065
713,2021-03-30 13:24:00-03:00,Grateful Dead,Shakedown Street - 2013 Remaster,2021,3,300.209,5.0034833333333335
714,2021-03-30 13:29:00-03:00,Dire Straits,Lions,2021,3,303.893,5.0648833333333325
724,2021-03-30 14:12:00-03:00,Soulive,Alkime,2021,3,325.383,5.42305
730,2021-03-30 19:24:00-03:00,The Cranberries,Ode To My Family,2021,3,142.41,2.3735
738,2021-03-30 19:32:00-03:00,Red Hot Chili Peppers,Sick Love,2021,3,221.44,3.6906666666666665
739,2021-03-30 19:37:00-03:00,Red Hot Chili Peppers,Go Robot,2021,3,263.8,4.3966666666666665
741,2021-03-30 19:40:00-03:00,Red Hot Chili Peppers,Feasting on the Flowers,2021,3,202.933,3.3822166666666664
