endTime,artistName,trackName,msPlayed
2021-11-23 14:40,The Brothers Johnson,Strawberry Letter 23,750
2021-11-23 14:40,Ikebe Shakedown,Dram,900
2021-11-23 14:41,Pimps of Joytime,Mud featuring Ivan Neville,2280
2021-11-23 14:41,Willy Crook,Fool Times,1160
2021-11-23 14:41,Greyboy,Unwind Your Mind,1500
2021-11-23 14:41,The Greyboy Allstars,V-Neck Sweater,3290
2021-11-23 14:41,The Poets Of Rhythm,More Mess on My Thing,1070
2021-11-23 14:41,The Cactus Channel,The Colour of Don Don,13610
2021-11-23 18:41,Galactic,Church,237630
2021-11-23 18:46,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-11-23 23:10,Tom Misch,Tick Tock,158163
2021-11-24 21:21,Tom Misch,Tick Tock,95946
2021-11-24 21:29,Peter Green,Slabo Day,309160
2021-11-24 21:33,Morbo y Mambo,Nigerian,279230
2021-11-24 21:37,Militantes del Climax,Jazz Funk,195420
2021-11-24 21:41,The Poets Of Rhythm,More Mess on My Thing,252000
2021-11-24 21:43,The Greyboy Allstars,V-Neck Sweater,155280
2021-11-24 21:48,Ikebe Shakedown,Dram,243693
2021-11-24 22:12,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-11-24 22:16,The New Mastersounds,MRG,257106
2021-11-24 22:22,Charlie Hunter,Fine Corinthian Leather,364920
2021-11-24 22:26,Willy Crook,Fool Times,236400
2021-11-24 22:32,Pimps of Joytime,Mud featuring Ivan Neville,260173
2021-11-24 22:32,The Brothers Johnson,Strawberry Letter 23,7839
2021-11-24 22:37,Pimps of Joytime,Janxta Funk!,256960
2021-11-24 23:38,The Main Squeeze,"That Feelin' (Brooklyn Bowl, 5.20.17) - Live",1450
2021-11-24 23:38,The Motet,Joke's On Me,119090
2021-11-24 23:38,Galactic,Funky Bird,4870
2021-11-24 23:39,"Earth, Wind & Fire",September,32170
2021-11-24 23:44,Pleasure,Yearnin' Burnin',298026
2021-11-24 23:48,The New Mastersounds,MRG,257106
2021-11-24 23:54,Charlie Hunter,Fine Corinthian Leather,364920
2021-11-24 23:59,The Brothers Johnson,Strawberry Letter 23,299066
2021-11-25 00:03,The Poets Of Rhythm,More Mess on My Thing,252000
2021-11-25 00:07,Ikebe Shakedown,Dram,243693
2021-11-25 00:11,The New Mastersounds,Take What You Need,191160
2021-11-25 00:13,The Greyboy Allstars,V-Neck Sweater,155280
2021-11-25 00:15,Sly & The Family Stone,If You Want Me to Stay,90013
2021-11-25 20:17,Ian Dury,Hit Me With Your Rhythm Stick,40540
2021-11-25 20:17,Mathieu Fiset,Chick's Pain,510
2021-11-25 20:18,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),67660
2021-11-25 21:06,Flyysoulja,island boi,7600
2021-11-25 21:06,Flyysoulja,Island Boy Freestyle,24370
2021-11-25 21:06,Flyysoulja,Money,23120
2021-11-25 21:07,Swim Mountain,Yesterday,21620
2021-11-25 21:07,The New Mastersounds,Treasure,7020
2021-11-25 21:07,The Alan Parsons Project,Sirius - Chicago Bulls Theme Song,2560
2021-11-25 21:07,The Alan Parsons Project,Eye In The Sky,3390
2021-11-25 21:07,The Alan Parsons Project,Mammagamma - Instrumental,680
2021-11-26 00:38,Lettuce,Need to Understand,54390
2021-11-27 02:44,Ray Parker Jr.,A Woman Needs Love (Just Like You Do),177710
2021-11-27 14:50,CHIC,What About Me,254160
2021-11-27 15:10,Donny Hathaway,Voices Inside (Everything Is Everything),815080
2021-11-27 15:14,The Temptations,Shakey Ground,241600
2021-11-27 15:18,Dire Straits,Six Blade Knife,252000
2021-11-27 15:23,Dire Straits,Lions,303893
2021-11-27 15:29,Galactic,Church,353973
2021-11-27 15:35,Galactic,Something's Wrong With This Picture,355506
2021-11-27 15:39,Little Feat,Skin It Back,252133
2021-11-27 15:44,Merl Saunders & Friends,After Midnight,301400
2021-11-27 15:48,Pimps of Joytime,Mud featuring Ivan Neville,260173
2021-11-27 15:53,Vulfpeck,Cory Wong,246910
2021-11-27 16:20,The New Mastersounds,MRG,257106
2021-11-27 16:23,The New Mastersounds,102%,203457
2021-11-27 18:44,Average White Band,Pick up the Pieces,234586
2021-11-27 18:48,The Greyboy Allstars,Still Waiting,202560
2021-11-27 18:53,The New Mastersounds,The Vandenburg Suite,328465
2021-11-27 18:56,Sly & The Family Stone,If You Want Me to Stay,180493
2021-11-27 19:01,Mac Miller,What's the Use?,288640
2021-11-27 19:05,Eric Clapton,I Shot The Sheriff,263746
2021-11-27 19:09,The New Mastersounds,Be Yourself,240465
2021-11-27 19:54,Ian Dury,Hit Me With Your Rhythm Stick,223960
2021-11-27 20:13,The Rolling Stones,Fingerprint File,393306
2021-11-27 20:17,Red Hot Chili Peppers,Hump de Bump,213093
2021-11-27 20:20,Al Green,Love and Happiness,1090
2021-11-27 20:20,KellyeAnn Keough,Well-Behaved Women,160068
2021-11-27 20:39,True Loves,Shambling,250845
2021-11-27 20:42,Militantes del Climax,Jazz Funk,195420
2021-11-27 20:46,Lettuce,Move on Up,213480
2021-11-27 20:50,Lettuce,Need to Understand,226000
2021-11-27 20:52,Lettuce,Do It Like You Do,174313
2021-11-28 00:29,Morbo y Mambo,Nigerian,19375
2021-11-28 00:33,Morbo y Mambo,Nigerian,259909
2021-11-28 00:41,Llorca,The End,445600
2021-11-28 00:44,Sly & The Family Stone,If You Want Me to Stay,2180
2021-11-28 00:44,True Loves,Shambling,180576
2021-11-28 00:44,The New Mastersounds,102%,3812
2021-11-28 00:44,Booker T. Jones,Rent Party,4686
2021-11-28 00:49,Al Green,Love and Happiness,307062
2021-11-28 00:52,The Meters,Ease Back,194226
2021-11-28 00:57,The Poets Of Rhythm,More Mess on My Thing,252000
2021-11-28 01:02,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-11-28 01:06,The Temptations,Shakey Ground,241600
2021-11-28 01:09,The New Mastersounds,Take What You Need,191160
2021-11-28 01:13,Ian Dury,Hit Me With Your Rhythm Stick,223960
2021-11-28 01:18,Red Hot Chili Peppers,Hollywood (Africa) - Remastered,303560
2021-11-28 01:24,Charlie Hunter,Fine Corinthian Leather,364920
2021-11-28 01:44,Lipps Inc.,Funkytown,34018
2021-11-28 12:38,Lettuce,Do It Like You Do,76997
2021-11-28 13:14,The New Mastersounds,Take What You Need,17513
2021-11-28 13:18,The New Mastersounds,Treasure,139740
2021-11-28 13:20,The Royal Concept,Goldrushed,117730
2021-11-28 13:23,Fellini Félin,Breath Hold,213146
2021-11-28 13:27,Miel De Montagne,Pourquoi pas,192161
2021-11-28 13:29,Loyle Carner,Damselfly,172653
2021-11-28 13:33,Hector Gachan,Untitled '91,244000
2021-11-28 13:40,Kevin Morby,City Music,404373
2021-11-28 13:44,The Marías,I Don't Know You,209449
2021-11-28 13:46,Swell,I'm Sorry,157524
2021-11-28 13:50,Private Agenda,Sienna,195232
2021-11-28 13:51,Fhin,Irreversible,56709
2021-11-29 15:18,Ian Dury,Hit Me With Your Rhythm Stick,166720
2021-11-29 15:23,Lettuce,Do It Like You Do,4320
2021-11-29 15:23,Lettuce,Need to Understand,116730
2021-11-29 15:24,Greyboy,Got to Be a Love - Paul Nice Remix,28150
2021-11-29 15:26,The Greyboy Allstars,V-Neck Sweater,155280
2021-11-29 15:28,Billy Cobham,Red Baron,72910
2021-11-29 15:30,The Meters,Cissy Strut,122030
2021-11-29 19:48,Lettuce,Need to Understand,171604
2021-11-29 19:52,Lettuce,Do It Like You Do,251293
2021-11-29 19:55,The New Mastersounds,Take What You Need,191160
2021-11-29 19:57,The New Mastersounds,Treasure,102682
2021-11-29 20:18,The Rolling Stones,Beast Of Burden - Remastered 1994,4440
2021-11-29 20:18,The Rolling Stones,Beast Of Burden - Remastered 1994,18210
2021-11-29 20:39,The Rolling Stones,Beast Of Burden - Remastered 1994,21420
2021-11-30 12:21,Weezer,Say It Ain't So,258826
2021-11-30 12:24,The Alan Parsons Project,Mammagamma - Instrumental,213893
2021-11-30 12:26,The Alan Parsons Project,Sirius - Chicago Bulls Theme Song,115280
2021-11-30 12:31,The Alan Parsons Project,Eye In The Sky,276280
2021-11-30 12:34,The Alan Parsons Project,Snake Eyes,195666
2021-11-30 12:38,The Alan Parsons Project,I Wouldn't Want to Be Like You,201880
2021-11-30 12:42,Genesis,That's All - Remastered 2007,266173
2021-11-30 12:42,Boogie Belgique,Pelican,10560
2021-11-30 12:42,The Gaddabouts,River Rises,1640
2021-11-30 12:47,Talking Heads,Slippery People - 2005 Remaster,306320
2021-11-30 12:50,Joss Moog,Wil,157923
2021-11-30 12:54,Nikitch,46 Rue Du Fort,256262
2021-11-30 13:10,Red Hot Chili Peppers,Apache Rose Peacock,1030
2021-11-30 13:10,Herbie Hancock,Doin' It,770
2021-11-30 13:10,Michael Haggins,Daybreak,254674
2021-11-30 13:10,Fleetwood Mac,Dreams - 2004 Remaster,1080
2021-11-30 13:14,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-11-30 13:19,Tom Misch,Tick Tock,253848
2021-11-30 13:20,Peter Green,Slabo Day,72335
2021-11-30 14:21,The Rolling Stones,Beast Of Burden - Remastered 1994,72430
2021-11-30 14:29,Peter Green,Slabo Day,309160
2021-11-30 14:34,Morbo y Mambo,Nigerian,279230
2021-11-30 14:38,Willy Crook,Fool Times,236400
2021-11-30 14:42,The Poets Of Rhythm,More Mess on My Thing,252000
2021-11-30 14:44,The New Mastersounds,MRG,106140
2021-11-30 20:35,Peter Green,Slabo Day,311730
2021-11-30 20:40,Morbo y Mambo,Nigerian,279230
2021-11-30 20:44,The New Mastersounds,MRG,257106
2021-11-30 20:46,Militantes del Climax,Jazz Funk,133803
2021-12-01 12:25,Gábor Vermes Group,Slap the Bass,13920
2021-12-01 12:25,The New Mastersounds,Take What You Need,1170
2021-12-01 12:25,Pimps of Joytime,Mud featuring Ivan Neville,1430
2021-12-01 12:25,Militantes del Climax,Jazz Funk,940
2021-12-01 12:25,Willy Crook,Fool Times,870
2021-12-01 12:25,Charlie Hunter,Fine Corinthian Leather,840
2021-12-01 12:25,Ikebe Shakedown,Dram,730
2021-12-01 12:29,Doctorfunk,Can't Fight The Funk,241706
2021-12-01 12:34,Greyboy,Got to Be a Love - Paul Nice Remix,275786
2021-12-01 12:37,Merl Saunders & Friends,After Midnight,180916
2021-12-01 12:54,Martín Buscaglia,"Cerebro, Orgasmo, Envidia & Sofía",257420
2021-12-01 12:54,Martín Buscaglia,Ante la Duda Todo,7280
