endTime,artistName,trackName,msPlayed
2021-03-15 22:12,Korn,Blind,171780
2021-03-16 16:02,Korn,Blind,8500
2021-03-16 16:09,Vulfpeck,Dean Town,70270
2021-03-16 16:12,The Greyboy Allstars,V Neck Sweater,155280
2021-03-16 16:12,Vulfpeck,Cory Wong,830
2021-03-16 16:16,Rush,Tom Sawyer,269580
2021-03-16 16:17,Pink Floyd,Money,3210
2021-03-16 16:17,Rush,Limelight,7530
2021-03-16 16:19,Dire Straits,Money For Nothing,121200
2021-03-16 16:19,Eric Clapton,Cocaine,8000
2021-03-16 16:19,Redbone,Come and Get Your Love - Single Version,19930
2021-03-16 16:23,The Main Squeeze,"Redbone (Blue Nile - New Orleans, 5.03.17) - Live",1400
2021-03-16 16:23,Red Hot Chili Peppers,If You Want Me To Stay,3760
2021-03-16 16:23,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,186050
2021-03-16 16:23,Red Hot Chili Peppers,Castles Made of Sand - 2006 Remaster,13960
2021-03-16 16:27,Tom Misch,Movie,370
2021-03-16 16:27,Wild Cherry,Play That Funky Music,248210
2021-03-16 18:11,Portugal. The Man,How The Leopard Got Its Spots,43290
2021-03-16 18:11,Tom Misch,Disco Yes,197630
2021-03-16 18:13,Portugal. The Man,Gold Fronts,2080
2021-03-16 18:13,Portugal. The Man,People Say - Acoustic,11800
2021-03-16 18:13,Portugal. The Man,How The Leopard Got Its Spots,1860
2021-03-16 18:13,Portugal. The Man,Feel It Still,77710
2021-03-16 18:14,Portugal. The Man,AKA M80 The Wolf,61700
2021-03-16 19:57,Beach House,Gila,284830
2021-03-16 19:58,Beach House,Space Song,25250
2021-03-16 19:58,Beach House,You Came To Me,10270
2021-03-16 19:58,Beach House,Wedding Bell,5250
2021-03-16 19:58,Beach House,Myth,6820
2021-03-16 19:58,Beach House,Master of None,9340
2021-03-16 19:59,Beach House,Turtle Island,56150
2021-03-16 20:02,Jinsang,Feelings.,151703
2021-03-16 20:05,Colossus,Real Fungi,191000
2021-03-16 20:14,Lord Echo,Cosmic Echoes,16216
2021-03-16 20:15,Slide Five,Streamline,2300
2021-03-16 20:18,The Jazzual Suspects,Popping Kerns,210129
2021-03-16 20:26,Mark Farina,Dream Machine - Downtempo Mix,368746
2021-03-16 20:29,Nathan George,Colorblind,176000
2021-03-16 20:32,Joshua Heath,More,192573
2021-03-16 20:44,Booker T. Jones,Rent Party,3450
2021-03-16 20:44,Yasuko Agawa,L.A. Night,1190
2021-03-16 20:44,Greyboy,Unwind Your Mind,690
2021-03-16 20:49,Yasuko Agawa,L.A. Night,322088
2021-03-16 21:10,Greyboy,Unwind Your Mind,79921
2021-03-16 21:16,Pete Rock,A Little Soul,341200
2021-03-16 21:48,Sleek & Cheek,Go Home,1230
2021-03-16 21:48,Bonus Points,Some Things Don't Change,880
2021-03-16 21:48,Flamingosis,Believe in Me,219390
2021-03-16 21:48,BoomBox,Waiting Around,15980
2021-03-16 21:48,The Jazzual Suspects,This Beat,1120
2021-03-17 01:39,The Deli,Sagittarius,358010
2021-03-17 12:21,Estelle,American Boy,43740
2021-03-17 12:22,Frankie Valli,Can't Take My Eyes off You,23140
2021-03-17 12:23,Frankie Valli,Can't Take My Eyes off You,51680
2021-03-17 13:18,Frankie Valli,Grease - 2007 Remaster,207306
2021-03-17 13:19,Eric Clapton,Before You Accuse Me,39920
2021-03-17 13:19,Frankie Valli,My Eyes Adored You,26723
2021-03-17 13:23,Eric Clapton,"Signe - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",209413
2021-03-17 13:27,Eric Clapton,Before You Accuse Me - 2013 Remaster,239053
2021-03-17 13:30,Eric Clapton,"Hey Hey - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",226373
2021-03-17 13:35,Eric Clapton,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",280000
2021-03-17 13:41,Eric Clapton,"Lonely Stranger - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",327760
2021-03-17 13:48,Eric Clapton,"Nobody Knows You When You're Down and Out - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",235426
2021-03-17 13:53,Eric Clapton,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",289026
2021-03-17 13:59,Eric Clapton,"Running On Faith - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",390893
2021-03-17 14:03,Eric Clapton,"Walkin' Blues - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",216800
2021-03-17 14:08,Eric Clapton,"Alberta - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",218373
2021-03-17 14:11,Eric Clapton,"San Francisco Bay Blues - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",208693
2021-03-17 19:48,J Dilla,So Far to Go,10060
2021-03-17 19:48,Eric Clapton,"Malted Milk - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",17426
2021-03-17 19:50,J Dilla,367,150093
2021-03-17 19:51,J Dilla,368,1976
2021-03-17 19:52,Kool & The Gang,Hollywood Swinging,25080
2021-03-17 19:52,Average White Band,School Boy Crush,9640
2021-03-17 19:58,Doctorfunk,Gotta Get Funky,113560
2021-03-17 19:59,Eric Clapton,Cocaine,9100
2021-03-17 19:59,The Jazzual Suspects,Ba Dada,11830
2021-03-17 19:59,Doctorfunk,Can't Fight The Funk,17410
2021-03-17 20:01,The Greyboy Allstars,V Neck Sweater,105111
2021-03-17 20:01,Billy Cobham,Red Baron,0
2021-03-17 20:04,Doctorfunk,Gotta Get Funky,215586
2021-03-17 20:08,Doctorfunk,Can't Fight The Funk,241706
2021-03-17 20:09,Doctorfunk,Back in Black,52386
2021-03-17 20:10,Doctorfunk,Right Here,1070
2021-03-17 20:10,Doctorfunk,Second Opinion,8830
2021-03-17 20:10,Doctorfunk,Step Up To The Plate,2630
2021-03-17 20:12,Doctorfunk,Livin' In Bump City,14490
2021-03-17 20:16,Doctorfunk,Right Here,255093
2021-03-17 20:22,Red Hot Chili Peppers,Get on Top,5860
2021-03-17 20:22,Red Hot Chili Peppers,Parallel Universe,7510
2021-03-17 20:22,Doctorfunk,Livin' In Bump City,44846
2021-03-17 20:23,Red Hot Chili Peppers,Easily,6400
2021-03-17 20:23,Red Hot Chili Peppers,Easily,28580
2021-03-17 20:23,Red Hot Chili Peppers,Right on Time,4300
2021-03-17 21:27,Red Hot Chili Peppers,Quixoticelixer - 2006 Remaster,256700
2021-03-17 23:02,Red Hot Chili Peppers,Over Funk - 2006 Remaster,38360
2021-03-17 23:12,Michael Jackson,We Are The World - Live,1670
2021-03-17 23:12,Red Hot Chili Peppers,Quixoticelixer - 2006 Remaster,251220
2021-03-17 23:12,Morrissey,Suedehead - 2011 Remaster,16030
2021-03-17 23:12,Charly Antolini,Secret Love,25050
2021-03-17 23:13,Pino Palladino,Ekuté,28450
2021-03-17 23:13,Pino Palladino,Chris Dave,3710
2021-03-17 23:13,Pino Palladino,Just Wrong,2730
2021-03-17 23:15,Pino Palladino,Notes With Attachments,4110
2021-03-17 23:15,Luciano Pavarotti,Se Bastasse Una Canzone,3830
2021-03-17 23:15,Pino Palladino,Soundwalk,9660
2021-03-17 23:15,Pino Palladino,Djurkel,5540
2021-03-17 23:16,The Struts,Could Have Been Me,5970
2021-03-17 23:16,The Meters,Chicken Strut,29890
2021-03-17 23:16,Pino Palladino,Man From Molise,3050
2021-03-17 23:16,Pino Palladino,Off The Cuff,12550
2021-03-17 23:16,Pino Palladino,Chris Dave,6480
2021-03-17 23:16,Louis Armstrong,Struttin' With Some Barbecue,3780
2021-03-17 23:17,The Meters,Tippi-Toes,5300
2021-03-17 23:17,The Meters,Ride Your Pony,18060
2021-03-17 23:17,The Meters,Funky Meters Soul,5030
2021-03-17 23:17,The Meters,Hand Clapping Song,8420
2021-03-17 23:17,The Meters,Meters Strut,15880
2021-03-17 23:17,The Meters,Cissy Strut,2630
2021-03-17 23:18,The Meters,Ease Back,2630
2021-03-17 23:18,The Meters,Just Kissed My Baby,2120
2021-03-17 23:18,The Meters,Ease Back,1010
2021-03-17 23:18,The Meters,Cissy Strut,4710
2021-03-17 23:18,The Meters,Stormy,34270
2021-03-17 23:18,The Meters,Cissy Strut,1170
2021-03-17 23:18,The Meters,Here Comes the Meter Man,2630
2021-03-17 23:18,The Meters,Cardova,3880
2021-03-17 23:18,The Meters,Sophisticated Cissy,1670
2021-03-17 23:19,The Meters,Live Wire,29800
2021-03-17 23:20,The Meters,Art,51260
2021-03-18 01:15,The Meters,Sophisticated Cissy,12950
2021-03-18 01:19,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,202263
2021-03-18 01:27,Jimi Hendrix,All Along the Watchtower,0
2021-03-18 01:31,Las Pelotas,Será,169200
2021-03-18 01:36,The Beatles,While My Guitar Gently Weeps - Remastered 2009,310160
2021-03-18 01:46,Paul McCartney,While My Guitar Gently Weeps - Live,4590
2021-03-18 13:34,Dream Theater,As I Am,342390
2021-03-18 13:34,Dream Theater,This Dying Soul,2360
2021-03-18 13:35,Dream Theater,Endless Sacrifice,1980
2021-03-18 13:36,Dream Theater,Honor Thy Father,84770
2021-03-18 13:41,The Brothers Johnson,Strawberry Letter 23,295330
2021-03-18 13:48,Oddisee,Beach Dr.,322857
2021-03-18 13:48,The Brothers Johnson,Come Together,3532
2021-03-18 13:48,Ikebe Shakedown,Dram,2620
2021-03-18 13:51,The Greyboy Allstars,V Neck Sweater,155280
2021-03-18 13:57,Billy Cobham,Red Baron,394400
2021-03-18 13:57,The Meters,Cissy Strut,750
2021-03-18 13:58,Doctorfunk,Right Here,740
2021-03-18 13:58,James Brown,The Boss,890
2021-03-18 13:58,Willy Crook,Fool Times,970
2021-03-18 13:58,Willy Crook,Fool Times,1580
2021-03-18 13:58,Charlie Hunter,Fine Corinthian Leather,810
2021-03-18 13:58,Galactic,Goodnight,750
2021-03-18 14:04,Charlie Hunter,Fine Corinthian Leather,364920
2021-03-18 14:08,Doctorfunk,What's My Cut?,570
2021-03-18 14:08,Booker T. Jones,Rent Party,1130
2021-03-18 14:08,Doctorfunk,Right Here,650
2021-03-18 14:08,The Marcus King Band,Dyin',1110
2021-03-18 14:08,Gary Clark Jr.,Cold Blooded,1260
2021-03-18 14:08,Willy Crook,Fool Times,233110
2021-03-18 14:08,Willy Crook,Back to Life,960
2021-03-18 14:08,Willy Crook,Seen Sin,1430
2021-03-18 14:13,The Brothers Johnson,I'll Be Good To You,288093
2021-03-18 14:30,The Meters,Just Kissed My Baby,283573
2021-03-18 14:36,The Dynamics,Move on Up,359213
2021-03-18 14:38,Galactic,As Big As Your Face,820
2021-03-18 14:38,Grateful Dead,Shakedown Street - 2013 Remaster,131250
2021-03-18 14:42,The Poets Of Rhythm,More Mess on My Thing,252000
2021-03-18 14:44,The Motet,Cheap Shit,93040
2021-03-18 21:36,Hector Gachan,Untitled '91,244000
2021-03-18 21:36,Kevin Morby,City Music,20140
2021-03-18 21:39,Miel De Montagne,Pourquoi pas,192161
2021-03-18 21:44,Loyle Carner,Damselfly,172653
2021-03-18 21:48,Hector Gachan,Untitled '91,244000
2021-03-18 21:53,MGMT,Kids,302840
2021-03-18 22:00,Kevin Morby,City Music,404373
2021-03-18 22:00,The Marías,I Don't Know You,16971
2021-03-18 22:03,Lo' Pibitos,Anda Corriendo el Rumor,199810
2021-03-18 22:07,LEISURE,All over You,234924
2021-03-18 22:11,Sports,Panama,198546
2021-03-18 22:14,Men I Trust,Show Me How,215110
2021-03-18 22:16,Crumb,Recently Played,120454
2021-03-18 22:21,Parcels,Hideout,266454
2021-03-18 22:24,Thundercat,Them Changes,188453
2021-03-18 23:18,RALPH TV,Taxi Boy,163404
2021-03-18 23:25,Pink Floyd,Comfortably Numb,403330
2021-03-18 23:31,Pink Floyd,Money,84090
2021-03-18 23:36,Tom Misch,Disco Yes,271620
2021-03-18 23:37,Stone Temple Pilots,Interstate Love Song - 2019 Remaster,71610
2021-03-18 23:43,Creed,My Sacrifice,290570
2021-03-18 23:43,Creed,Higher,37110
2021-03-19 12:37,The Motet,Cheap Shit,9810
2021-03-19 12:37,Eric Clapton,Before You Accuse Me,11810
2021-03-19 12:40,Sly & The Family Stone,If You Want Me to Stay,180493
2021-03-19 12:40,Creedence Clearwater Revival,Have You Ever Seen The Rain,8256
2021-03-19 12:40,Average White Band,Pick up the Pieces,4840
2021-03-19 12:41,Average White Band,School Boy Crush,34600
2021-03-19 12:43,The Greyboy Allstars,V Neck Sweater,155280
2021-03-19 12:45,Galactic,Something's Wrong With This Picture,2670
2021-03-19 12:45,Billy Cobham,Red Baron,80870
2021-03-19 12:45,The Temptations,Shakey Ground,4260
2021-03-19 12:50,Average White Band,School Boy Crush,299533
2021-03-19 12:50,The Meters,Love Slip Upon Ya,6536
2021-03-19 12:50,The Meters,Liar,1230
2021-03-19 12:50,The Meters,Come Together,1430
2021-03-19 12:53,Donny Hathaway,Voices Inside (Everything Is Everything),640
2021-03-19 12:53,CHIC,What About Me,195030
2021-03-19 13:43,The Temptations,Shakey Ground,155300
2021-03-19 13:45,Vulfpeck,Cory Wong,96310
2021-03-19 13:49,The New Mastersounds,MRG,257106
2021-03-19 13:52,The New Mastersounds,102%,203457
2021-03-19 13:55,Average White Band,Pick up the Pieces,155345
2021-03-19 13:55,Shuggie Otis,Funky Thithee,410
2021-03-19 14:01,The Greyboy Allstars,Still Waiting,134630
2021-03-19 14:02,The New Mastersounds,The Vandenburg Suite,16350
2021-03-19 14:03,The Meters,Here Comes the Meter Man,56800
2021-03-19 14:07,Doctorfunk,Gotta Get Funky,242240
2021-03-19 14:11,The Main Squeeze,Angelus,11230
2021-03-19 14:11,Stevie Wonder,Superstition - Single Version,6570
2021-03-19 14:11,Stevie Wonder,I Wish,1240
2021-03-19 14:11,Doctorfunk,Can't Fight The Funk,133730
2021-03-19 14:17,Ghost-Note,Swagism,248346
2021-03-19 14:51,Al Green,Love and Happiness,141443
2021-03-19 14:53,System Of A Down,B.Y.O.B.,105000
2021-03-19 14:56,Korn,Word Up!,172666
2021-03-19 14:58,Korn,Coming Undone,68043
2021-03-19 14:58,Angels & Airwaves,The Adventure,8010
2021-03-19 14:59,Bloc Party,Hunting for Witches,4030
2021-03-19 14:59,Angels & Airwaves,The War,90500
2021-03-19 15:01,Bloc Party,Helicopter,108160
2021-03-19 15:03,Muse,Time is Running Out,11030
2021-03-19 15:03,Muse,Stockholm Syndrome,4730
2021-03-19 15:03,Muse,Apocalypse Please,3180
2021-03-19 15:03,Bloc Party,Hunting for Witches,108660
2021-03-19 15:03,Korn,Twisted Transistor,1018
2021-03-19 15:03,Muse,Intro,13211
2021-03-19 15:07,Muse,Time is Running Out,237039
2021-03-19 15:09,Korn,Y'all Want a Single,114370
2021-03-19 19:35,Average White Band,School Boy Crush,284956
2021-03-19 19:35,Swim Mountain,Wait for Me,663
2021-03-19 19:36,Greyboy,Unwind Your Mind,20784
2021-03-19 19:40,Donny Hathaway,Voices Inside (Everything Is Everything),4433
2021-03-19 19:40,CHIC,What About Me,254160
